,user_location,tweet_text,date
66,"Millville, NJ 08322","Where to paddle, row, sail in the #Seattle area: https://t.co/SCzKVWs5cx via @seattletimes #boating #rowing #sailing #kayaking #fishing https://t.co/hZf4HFmSWr",2021-03-18 22:56:49
67,"On diverse inclusive culture, ",@GOP #waleg #orleg #Seattle https://t.co/ovI6hzeT5u,2021-03-18 22:54:48
68,"Hillsboro, OR","#Judge OKs $4-an-hour pay boost for #Seattle grocery workers
#employmentlaw
https://t.co/yzzsYF9mVJ",2021-03-18 22:52:38
69,"Boston, MA","7PM ET - Economic Update
Finally a Tiny Sales Tax on Stocks
Activate Radio - https://t.co/6hOC2CeNel
#news #occupy #boston #dorchester #roxbury #jamaicaplain #lowell #worcester #fallriver #providence #nyc #chicago #seattle https://t.co/pB0H2iddsN",2021-03-18 22:46:25
70,Greater Seattle,"Would you like to... learn a new skill, dance, socialize, get artsy, find a new job, or enjoy a good story? You'll find all that and more, every day, on the @SPLBuzz Event Calendar -- and it's all free! 
#Seattle #seattlewashington #librariansrock https://t.co/HKkBciYR26",2021-03-18 22:45:53
71,"Oregon, USA","The City of Seattle has released an ambitious plan to electrify its transportation system.

#ClimateAction
#Seattle #Washington #ElectricVehicles
https://t.co/XpzVM9JMJn",2021-03-18 22:45:19
72,"Seattle, WA",Question: does anyone else see downotes in r/seawa as something to be proud of? https://t.co/IXI3dHs4xq #seattle,2021-03-18 22:43:32
73,,The Seattle Seahawks just signed a pro bowler. #GoHawks #seahawks #Seattle #12thman #12s,2021-03-18 22:41:24
74,"Seattle, WA","University of Washington Tuition and Fee Payers See Victory in #COVID19 Lawsuit Against #UW
https://t.co/FVUL6v09aP
---
#Seattle #collegestudents https://t.co/ke7KmZEanh",2021-03-18 22:41:01
75,,"#covidvaccine eligible (or helping locate) in #Seattle?  Just had a super smooth 2-part experience helping a friend’s mom. Registered at the link below last night, got an email to schedule for an appt today, friend’s mom is now scheduled  for next week! https://t.co/vmwmUcQzLT",2021-03-18 22:36:16
76,"Seattle, WA","51F in #Seattle w broken clouds &amp; 4.61mph winds, 76% humidity https://t.co/pqaWPWZG3t https://t.co/Xsyz5Mfzss",2021-03-18 22:30:34
77,Western Washington,"Do you say #HappyAwkwardMomentsDay???  🤷‍♂️ Well, here's an awkward moment if I've ever seem one!  🚘 💥 🚙 💨 Whose fault is it, Anyway?!
.
.
.
#WhalleyLaw #Happy #awkward #moment #accident #Personal #Injury #lawyer #seattle #tacoma #washington #crashcam https://t.co/8cmZ1feka5",2021-03-18 22:30:29
78,"Seattle, WA",Seattle Multimodal Terminal at Colman Dock Project: https://t.co/xhlJZtKZTT #SDOT #WSDOT #Transit #Seattle #Transportation,2021-03-18 22:28:25
79,"Seattle, WA",U.S. Sen. Patty Murray seeks a $1.9 billion boost for Sound Transit expansion: https://t.co/v0Iou1Rt3h #SDOT #WSDOT #Transit #Seattle #Transportation,2021-03-18 22:28:25
80,"Seattle, WA",No New Highways Is a 21st Century Imperative: https://t.co/0lmEkBfjCH #SDOT #WSDOT #Transit #Seattle #Transportation,2021-03-18 22:28:24
81,"Seattle, WA",Pierce Transit adding back nearly 190 Sunday trips starting March 21 - The Suburban Times: https://t.co/UFT5z9NeGb #SDOT #WSDOT #Transit #Seattle #Transportation,2021-03-18 22:28:24
82,"Seattle, WA",Drive-thru COVID-19 vaccine site opening in Poulsbo as thousands in Kitsap become eligible - Kitsap Sun: https://t.co/NboECI3ums #SDOT #WSDOT #Transit #Seattle #Transportation,2021-03-18 22:28:23
83,,"TRAP PLAY by Kroon@daviskroon1 https://t.co/iUTiphKG0s https://t.co/eauBsEWzJL  #Action, #DamagedHero, #Football, #Mystery, #Psychopath, #Seattle, #Stalker, #SportsScandal, #Suspense, #Murder, #TechnoThriller #wrpbks https://t.co/D6zP30boio",2021-03-18 22:20:02
84,USA-WA-Seattle Metro,"Have you ever had a role like ""security operations center analyst (remote work available)""? What did you like most about that job? #techjobs #Seattle, WA",2021-03-18 22:15:22
85,"West Seattle, WA",Rainbow 🌈 #timelapse. #Seattle #wawx https://t.co/Z0VjVpvzbx,2021-03-18 22:15:15
86,"Mercer Island, WA","Check out some of the recent activity from our office.

If you're wondering if now is a good time to sell, it is! Get started with a free home valuation: https://t.co/dzFielKEVv

#homesold #johnlscott #realestate #mercerisland #seattle #livingmercerisland https://t.co/NSeSXFnbM9",2021-03-18 22:07:03
87,"Seattle, WA","New season, new workouts. Check out a few tips that are sure to put a spring in your step! #spring #seattle

https://t.co/apqhpXKbWj",2021-03-18 22:06:26
88,Seattle,Rainbow over the Central District. #seattle #rainbow #wawx @NWSSeattle @KSeattleWeather https://t.co/PCH7bsfxYw,2021-03-18 22:05:15
89,"Seattle, WA","This #Accounting job might be a great fit for you. Click the link in our bio to see it and more. Accounting Assistant at DESC #Seattle, WA",2021-03-18 22:05:09
90,"New York, NY","Check out this #rainbow captured over #Seattle today. Here's the latest camera: https://t.co/FQvr1zJSlM
#WAwx https://t.co/tWNhAcZYfB",2021-03-18 22:04:34
91,"Tacoma, WA & Palm Springs, CA","@docsnowplus Our skydiving #documentary RIDE THE SKY about pioneering #skydiver Joan Carson is now available on #Roku channel DocsNow+ Read all about it in our press release.

https://t.co/GqO9GlweWZ

#Seattle #movies #film #filmmaking #skydiving #films",2021-03-18 22:03:27
92,"Bellevue, WA","🗼 In #Seattle, the hottest towns are West Seattle, Ballard, Capitol Hill, Queen Anne, Madrona, and Beacon Hill.",2021-03-18 22:02:40
93,"Oakland, NJ","HBD Jerry Cantrell 

#Riff #Legend #AliceInChains #Wah #GandL #Rampage #Gibson #Explorer #Guitar #Seattle #SeattleSound #Grunge #AmericanMusicalSupply https://t.co/hYyy7DyqO4",2021-03-18 22:01:16
94,Everywhere and Anywhere,"You probably noticed by now that Seattle is one of our favorite go-to travel spots #seattle #pnw 
https://t.co/Y5uf8waWks",2021-03-18 22:01:06
95,"Seattle, WA","SPD Asst Chief Steve Hirjak stops by Emerald City Bible Fellowship to show support a day after a deadly shooting. 

Pastor Harvey Drake (left) tells #Q13FOX the suspect entered the church looking for the victim at the Community Passageways orientation meeting #seattle https://t.co/SMlABz3EI9",2021-03-18 22:00:51
96,"Seattle, WA","50F in #Seattle w light rain &amp; 11.5mph winds, 62% humidity https://t.co/pqaWPWZG3t https://t.co/CaKa1Aoxzb",2021-03-18 22:00:36
97,"Seattle, WA","Kilo is so KUTE! 

#gooddog #dogdaycare #dogs #pnwdogs #seattlebestdog #seattlebestdogs #wadogs #washingtondogs #furryfriends #puppylove #washingtonstate #pnw #seattle #popandpopshop https://t.co/2M9PB8k25P",2021-03-18 22:00:18
98,"New York, NY",#Seattle #Father Ambushed and #Shot 9 Times 'Knew' Ex #Wife Sent Teen Hit Man — and Authorities Agree https://t.co/LQG03GyD4e,2021-03-18 21:59:51
99,"Seattle, WA",WA males 13% more likely to be hospitalized/die from COVID19 vs women https://t.co/GKJMOEB4co #seattle https://t.co/vSMLyHm5mc,2021-03-18 21:57:37
